,廠牌型號規格,庫存數量,備註,實際庫存,註明
,TCL  TAW-28HO/I,1,,1,
,TCL  TAW-36HO/I,1,,1,
,TCL  TAW-41HO/I,1,,1,
,TCL  TAW-50HO/I,1,,1,
,TCL  TAW-63HO/I,2,,2,
,TCL  TAW-72HO/I,4,,4,
,TCL  TCB-28HO/I,0,,0,
,TCL  TCB-36HO/I,4,,4,
,TCL  TCB-41HO/I,0,,0,
,TCL  TCB-50HO/I,2,,2,
,TCL  TCB-63HO/I,1,,1,
,TCL  TCB-72HO/I,0,,0,
,TCL  TCB-80HO/I,4,,4,
,0,,,,
,格力GPS-23,0,,0,
,格力GPS-29,8,,8,
,格力GPS-36,14,,14,
,格力GPS-41,6,,6,
,格力GPS-50,6,,6,
,格力GPS-63,5,,5,
,格力GPS-72,0,,0,
,0,,,,
,格力GSB-41,0,,0,二級
,0,,,,
,華菱BHO/I-41KIGSH,0,,0,
,萬士益MAS/RA-72NH32,1,,1,
,萬士益MAS/RA-36NH32,2,,2,
,0,,,,
,日立除濕機RD-18FJ60,0,,0,
,日立除濕機RD-22FJ,0,,0,
,日立除濕機RD-340VJ,0,,0,
,日立RAC-28HP/RAC-28HQP,0,,0,
,日立RAC-36HP/RAS-36HQP,0,,0,
,日立RAC-40HP/RAS-40HQP,0,,0,
,日立RAC-50HP/RAS-50HQP,0,,0,
,日立RAC-63HP/RAS-63HQP,0,,0,
,日立RAC-71HP/RAS-71HQP,0,,0,
,日立RAC-22YP/RAS-22YSP,0,,0,
,日立RAC-28YP/RAS-28YSP,0,,0,
,日立RAC-36YP/RAS-36YSP,0,,0,
,日立RAC-40YP/RAS-40YSP,0,,0,
,日立RAC-50YP/RAS-50YSP,1,,1,
,日立RAC-63YP/RAS-63YSP,1,,1,
,日立RAC-71YP/RAS-71YSP,0,,0,
,日立RAC-40NP/RAS-40NTB,0,,0,
,三洋多媒體液晶顯示器SMT-43AM3,5,,5,
,0,,,,
,0,,,,
,0,0,0,0,0
,0,0,0,0,0
,0,0,0,0,0
,0,0,0,0,0
